              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
   Liberation Mono  20.0 |      589    801 | -1/-1  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  -7/-7  -2/-2
   Liberation Mono  20.5 |      603    822 | -2/-5  +0/+0  +0/+0  -1/-3  -1/-3  -1/-3  -21/-28  -1/-3
   Liberation Mono  21.0 |      617    840 | +1/+2  +0/+0  +0/-1  +0/+0  +0/+0  +0/+0  -8/-19  +0/-1
   Liberation Mono  21.5 |      631    861 | +0/-1  +0/+0  +0/-1  +0/-2  +0/-2  +0/-3  +4/+12  +0/-2
   Liberation Mono  22.0 |      646    879 | -3/-3  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -11/-6  +0/+0
   Liberation Mono  22.5 |      660    900 | +5/+2  +0/+0  +0/+0  +1/+0  +1/-1  +1/+0  +1/+0  +1/-1
   Liberation Mono  23.0 |      674    917 | +3/+6  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +14/+9  +1/+2
   Liberation Mono  23.5 |      691    942 | -1/-2  +0/+0  +0/-1  -1/-3  -1/-3  -1/-3  -3/-16  -1/-3
   Liberation Mono  24.0 |      706    960 | +1/+1  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  +8/+19  -1/-1
    Lib Serif Bold   5.0 |      159    198 | -2/-3  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  +0/+14  -2/-3
    Lib Serif Bold   5.5 |      173    215 | +1/+1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -14/-3  +0/+0
    Lib Serif Bold   6.0 |      187    233 | +4/+5  +0/+0  +0/+0  +2/+2  +2/+2  +2/+2  -2/+5  +2/+1
    Lib Serif Bold   6.5 |      205    254 | -2/+0  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +7/+11  -1/+0
    Lib Serif Bold   7.0 |      219    272 | +1/+3  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  -7/-7  +1/+1
    Lib Serif Bold   7.5 |      236    293 | +1/+3  +0/+0  +0/-1  +0/+0  +0/+0  +0/+0  +2/-2  +0/+0
    Lib Serif Bold   8.0 |      250    310 | +4/+3  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +15/+8  +1/+3
    Lib Serif Bold   8.5 |      268    332 | -1/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -3/-14  -1/+0
    Lib Serif Bold   9.0 |      282    349 | +2/+3  +0/+0  +0/+0  +1/+3  +1/+3  +1/+3  +9/+21  +1/+3
    Lib Serif Bold   9.5 |      300    374 | -4/-6  +0/+0  +0/+0  -1/-2  -1/-2  -1/-3  +18/+23  -1/-3
    Lib Serif Bold  10.0 |      314    392 | -1/-3  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  +4/+5  +0/-1
    Lib Serif Bold  10.5 |      332    413 | -2/-2  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  -14/-16  -2/-3
    Lib Serif Bold  11.0 |      346    431 | +1/+1  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -2/-8  +0/-1
    Lib Serif Bold  11.5 |      360    448 | +4/+5  +0/+0  +0/+0  +2/+2  +2/+2  +2/+2  -16/-25  +2/+1
    Lib Serif Bold  12.0 |      377    469 | +0/+1  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -7/-19  +0/+0
    Lib Serif Bold  12.5 |      392    487 | +2/+0  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  +5/+16  +1/+1
    Lib Serif Bold  13.0 |      409    508 | -3/-4  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -12/-5  +0/+0
    Lib Serif Bold  13.5 |      423    526 | +0/-1  +0/+0  +0/-1  +1/+1  +1/+1  +1/+1  +0/+3  +1/+1
    Lib Serif Bold  14.0 |      441    547 | -1/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +9/+9  -1/+0
    Lib Serif Bold  14.5 |      455    564 | +2/+3  +0/+0  +0/+0  +1/+3  +1/+3  +1/+3  -5/-8  +1/+2
    Lib Serif Bold  15.0 |      473    586 | -3/-2  +0/+0  +0/+0  -2/+0  -2/-1  -2/+0  +3/-4  -1/+0
    Lib Serif Bold  15.5 |      487    607 | +0/-1  +0/+0  +0/+0  +0/-1  +0/-2  +0/-1  +16/+28  +0/-1
    Lib Serif Bold  16.0 |      504    628 | +0/-1  +0/+0  +0/-1  -2/-4  -2/-4  -2/-4  -1/+7  -1/-3
    Lib Serif Bold  16.5 |      519    646 | -3/-3  +0/+0  +0/+0  +0/-1  +0/-1  +0/-2  +10/+15  +0/-1
    Lib Serif Bold  17.0 |      533    664 | +5/+5  +0/+0  +0/+0  +2/+1  +2/+1  +2/+0  -4/-3  +1/+0
    Lib Serif Bold  17.5 |      550    684 | +0/+2  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -21/-23  +0/+0
    Lib Serif Bold  18.0 |      564    702 | +3/+1  +0/+0  +0/+0  +2/+1  +2/+1  +2/+1  -8/-14  +2/+1
    Lib Serif Bold  18.5 |      582    723 | -2/-3  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/-9  +0/+0
    Lib Serif Bold  19.0 |      596    741 | +1/+0  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  -14/-27  +1/+1
    Lib Serif Bold  19.5 |      614    762 | +0/+0  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -5/+6  -1/+0
    Lib Serif Bold  20.0 |      628    780 | +3/+3  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +7/+14  +1/+1
    Lib Serif Bold  20.5 |      646    801 | -3/-1  +0/+0  +0/+0  -2/+0  -2/-1  -2/+0  -11/-7  -2/+0
    Lib Serif Bold  21.0 |      660    819 | +0/+2  +0/+0  +0/+0  +0/+2  +0/+1  +0/+2  +1/+1  +0/+1
    Lib Serif Bold  21.5 |      677    843 | +0/-1  +0/+0  +0/+0  -2/-4  -2/-4  -2/-4  +11/+4  -1/-3
    Lib Serif Bold  22.0 |      691    861 | -1/-2  +0/+0  +0/-1  +1/-1  +1/-1  +1/-1  -3/-14  +1/-2
    Lib Serif Bold  22.5 |      709    882 | +2/+3  +0/+0  +0/+0  -1/-2  -1/-2  -1/-3  +5/-9  -2/-3
    Lib Serif Bold  23.0 |      723    900 | +1/+2  +0/+0  +0/-1  +0/-1  +0/-1  +0/-2  +18/+26  +0/-1
    Lib Serif Bold  23.5 |      737    917 | +4/+2  +0/+0  +0/+0  +2/+1  +2/+1  +2/+1  +4/+9  +2/+1
    Lib Serif Bold  24.0 |      755    938 | -1/-2  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +12/+15  -1/+0
   Lib Sans Italic   5.0 |      159    198 | +2/+1  +0/+0  +0/+0  +0/-1  +0/-2  +0/-1  +0/-13  +1/-1
   Lib Sans Italic   5.5 |      176    219 | +2/+1  +0/+0  +0/-1  +0/-2  +0/-2  +0/-2  -17/-34  +0/-2
   Lib Sans Italic   6.0 |      191    237 | +0/+1  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  -6/+1  +1/-1
   Lib Sans Italic   6.5 |      208    258 | -1/-4  +0/+0  +0/-1  -1/-2  -1/-2  -1/-2  +4/+7  +0/-2
   Lib Sans Italic   7.0 |      222    275 | +2/+0  +0/+0  +0/+0  +1/+1  +1/+0  +1/+1  -10/-10  +2/+1
   Lib Sans Italic   7.5 |      240    296 | +1/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -2/-5  +0/+0
   Lib Sans Italic   8.0 |      254    314 | +4/+4  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  +11/+4  +1/+1
   Lib Sans Italic   8.5 |      272    336 | -1/-1  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  -7/-18  -1/-1
   Lib Sans Italic   9.0 |      286    353 | +2/+3  +0/+0  +0/+0  +2/+2  +2/+2  +2/+2  +5/+17  +1/+2
   Lib Sans Italic   9.5 |      303    374 | +2/+3  +0/+0  +0/+0  +0/+1  +0/+0  +0/+1  +15/+23  +0/+0
   Lib Sans Italic  10.0 |      321    395 | -3/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -3/+2  -2/-1
   Lib Sans Italic  10.5 |      335    413 | -1/-2  +0/+0  +0/+0  +0/+1  +0/+0  +0/+1  +9/+10  +0/+1
   Lib Sans Italic  11.0 |      353    434 | -2/-2  +0/+0  +0/+0  -2/+0  -2/-1  -2/+0  +17/+16  -2/+0
   Lib Sans Italic  11.5 |      367    452 | +1/+1  +0/+0  +0/+0  +0/+2  +0/+1  +0/+2  +3/-2  +0/+1
   Lib Sans Italic  12.0 |      385    473 | +0/+1  +0/+0  +0/+0  -2/+0  -2/+0  -2/+0  -15/-23  -2/+0
   Lib Sans Italic  12.5 |      399    491 | -1/+0  +0/+0  +0/+0  +0/+2  +0/+1  +0/+2  -2/+12  +0/+2
   Lib Sans Italic  13.0 |      416    515 | -1/-3  +0/+0  +0/+0  -1/-2  -1/-3  -1/-2  -19/-12  -1/-3
   Lib Sans Italic  13.5 |      430    533 | -2/-3  +0/+0  +0/-1  +1/-1  +1/-1  +1/-1  -7/-4  +1/-1
   Lib Sans Italic  14.0 |      448    554 | +1/+1  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  +2/+2  -1/-2
   Lib Sans Italic  14.5 |      462    572 | +4/+4  +0/+0  +0/-1  +2/+0  +2/+0  +2/+0  -12/-16  +1/-1
   Lib Sans Italic  15.0 |      480    593 | -2/-5  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  -4/-11  -1/-2
   Lib Sans Italic  15.5 |      494    610 | +1/+0  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  +9/-1  +1/+1
   Lib Sans Italic  16.0 |      512    632 | -4/-5  +0/+0  +0/+0  -2/-2  -2/-3  -2/-2  -9/-23  -1/-1
   Lib Sans Italic  16.5 |      526    649 | -1/-1  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  +3/+12  +1/+1
   Lib Sans Italic  17.0 |      543    670 | +3/+3  +0/+0  +0/+0  +0/+1  +0/+0  +0/+1  +13/+18  +0/+0
   Lib Sans Italic  17.5 |      557    688 | +2/+2  +0/+0  +0/+0  +2/+2  +2/+2  +2/+1  -1/+0  +2/+2
   Lib Sans Italic  18.0 |      575    709 | +1/+2  +0/+0  +0/+0  +0/+1  +0/+1  +0/+0  +7/+5  +0/+0
   Lib Sans Italic  18.5 |      589    727 | -1/+1  +0/+0  +0/+0  +2/+3  +2/+2  +2/+3  +20/+14  +2/+2
   Lib Sans Italic  19.0 |      607    748 | -2/-3  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +2/-7  +0/+1
   Lib Sans Italic  19.5 |      624    769 | +3/+6  +0/+0  +0/+0  -1/+0  -1/+0  -1/-1  +11/+25  -1/+0
   Lib Sans Italic  20.0 |      639    787 | +0/+0  +0/+0  +0/+0  +0/+2  +0/+2  +0/+2  -4/+7  +0/+1
   Lib Sans Italic  20.5 |      656    808 | +0/+1  +0/+0  +0/+0  -2/+0  -2/-1  -2/+0  -21/-14  -1/+0
   Lib Sans Italic  21.0 |      670    829 | -1/-3  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  -9/-9  +1/-1
   Lib Sans Italic  21.5 |      688    850 | -2/-3  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  +0/-3  -1/-3
   Lib Sans Italic  22.0 |      702    868 | +1/+0  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  -14/-21  +1/-1
   Lib Sans Italic  22.5 |      720    889 | +0/+0  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  -6/-16  -1/-2
   Lib Sans Italic  23.0 |      734    907 | +3/+4  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  +7/+19  +1/-1
   Lib Sans Italic  23.5 |      751    928 | -2/-1  +0/+0  +0/-1  +0/-1  +0/-1  +0/-2  -10/-2  -1/-2
   Lib Sans Italic  24.0 |      766    946 | +0/-2  +0/+0  +0/+0  +1/+1  +1/+1  +1/+0  +1/+7  +0/+0
      Caladea Bold   5.0 |      159    205 | +2/+3  +0/+0  +0/+0  -1/-2  -1/-3  -1/-2  +0/+7  +0/-2
      Caladea Bold   5.5 |      176    226 | -2/-1  +0/+0  +0/-1  -1/-2  -1/-2  -1/-3  -17/-14  -1/-3
      Caladea Bold   6.0 |      191    244 | +0/+2  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -6/-6  +0/-1
      Caladea Bold   6.5 |      208    265 | -1/+2  +0/+0  +0/-1  -2/-2  -2/-2  -2/-2  +4/+0  -2/-1
      Caladea Bold   7.0 |      222    286 | -2/-2  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -10/-21  +0/-2
      Caladea Bold   7.5 |      240    307 | +1/+2  +0/+0  +0/+0  -2/-2  -2/-3  -2/-2  -2/+11  -2/-3
      Caladea Bold   8.0 |      254    325 | +0/+1  +0/+0  +0/+0  +0/+0  +0/+0  +0/-1  +11/+19  +0/+0
      Caladea Bold   8.5 |      272    346 | -1/+1  +0/+0  +0/+0  -2/-1  -2/-1  -2/-1  -7/-2  -2/-1
      Caladea Bold   9.0 |      286    367 | +2/+1  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  +5/+3  +0/-2
      Caladea Bold   9.5 |      303    388 | -2/-2  +0/+0  +0/+0  -1/-2  -1/-2  -1/-3  +15/+9  -1/-3
      Caladea Bold  10.0 |      318    406 | +0/+1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/-9  +0/+0
      Caladea Bold  10.5 |      335    427 | -5/-4  +0/+0  +0/+0  -2/-1  -2/-1  -2/-1  +9/+23  -2/-1
      Caladea Bold  11.0 |      349    448 | +2/+1  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  +21/+28  +0/-2
      Caladea Bold  11.5 |      367    469 | -3/-3  +0/+0  +0/+0  -2/-2  -2/-3  -2/-2  +3/+7  -2/-2
      Caladea Bold  12.0 |      381    487 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -11/-11  +0/+0
      Caladea Bold  12.5 |      399    508 | -1/+0  +0/+0  +0/+0  -2/-1  -2/-1  -2/-1  -2/-5  -2/-1
      Caladea Bold  13.0 |      413    529 | -2/-4  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -16/-26  +0/-2
      Caladea Bold  13.5 |      430    550 | -2/-3  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  -7/+6  -1/-2
      Caladea Bold  14.0 |      445    568 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +5/+14  +0/+0
      Caladea Bold  14.5 |      462    589 | -1/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -12/-7  -2/-1
      Caladea Bold  15.0 |      476    610 | +2/+0  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  +0/-1  +0/-1
      Caladea Bold  15.5 |      494    632 | -3/-5  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  +9/+3  -2/-3
      Caladea Bold  16.0 |      508    649 | +0/-1  +0/+0  +0/+0  -1/+0  -1/-1  -1/+0  -5/-14  +0/+0
      Caladea Bold  16.5 |      526    671 | -5/-6  +0/+0  +0/+0  -2/-1  -2/-1  -2/-2  +3/+17  -2/-2
      Caladea Bold  17.0 |      540    692 | +2/+2  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  +16/+23  +0/-2
      Caladea Bold  17.5 |      557    713 | -2/-1  +0/+0  +0/-1  -2/-3  -2/-4  -2/-3  -1/+2  -1/-3
      Caladea Bold  18.0 |      572    731 | +0/+2  +0/+0  +0/+0  +0/+0  +0/+0  +0/-1  +10/+10  +0/-1
      Caladea Bold  18.5 |      589    751 | -1/+3  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +20/+17  -2/+0
      Caladea Bold  19.0 |      603    773 | -2/-3  +0/+0  +0/-1  +0/-2  +0/-2  +0/-2  +6/-5  +0/-2
      Caladea Bold  19.5 |      621    794 | +1/+2  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  -12/+0  -2/-3
      Caladea Bold  20.0 |      635    811 | +0/+2  +0/+0  +0/+0  +1/+2  +1/+2  +1/+1  +0/+9  +0/+0
      Caladea Bold  20.5 |      653    833 | -1/+1  +0/+0  +0/+0  -2/-1  -2/-1  -2/-2  -18/-13  -2/-1
      Caladea Bold  21.0 |      667    854 | +2/+1  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -6/-7  +0/-2
      Caladea Bold  21.5 |      684    875 | -2/-2  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  +4/-2  -1/-3
      Caladea Bold  22.0 |      699    893 | +0/+1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -11/-20  +0/+0
      Caladea Bold  22.5 |      716    914 | -1/+0  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  -2/+12  -2/-1
      Caladea Bold  23.0 |      730    935 | +2/+1  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  +11/+18  +0/-2
      Caladea Bold  23.5 |      748    956 | -3/-3  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  -7/-3  -2/-3
      Caladea Bold  24.0 |      762    974 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +5/+5  +0/+0
      DejaVu Serif   5.0 |      162    205 | +3/+2  +0/+0  +0/-1  +1/+0  +1/-1  +1/+0  -3/+7  +2/+0
      DejaVu Serif   5.5 |      180    226 | +2/+3  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -21/-14  +0/+0
      DejaVu Serif   6.0 |      198    247 | -3/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -13/-9  -2/-1
      DejaVu Serif   6.5 |      212    265 | +0/+2  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +0/+0  +1/+2
      DejaVu Serif   7.0 |      229    289 | +0/-1  +0/+0  +0/+0  +0/-1  +0/-2  +0/-1  -17/-24  +0/-2
      DejaVu Serif   7.5 |      247    311 | -1/-1  +0/+0  +0/+0  -1/-3  -1/-3  -1/-3  -9/-20  -1/-3
      DejaVu Serif   8.0 |      261    328 | +1/+2  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +4/+16  +1/+1
      DejaVu Serif   8.5 |      279    350 | +0/+1  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  -14/-6  -1/-1
      DejaVu Serif   9.0 |      296    370 | +0/+3  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -5/+0  -1/+0
      DejaVu Serif   9.5 |      310    388 | -1/+1  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +8/+9  +1/+2
      DejaVu Serif  10.0 |      328    413 | -2/-2  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -10/-16  -1/-2
      DejaVu Serif  10.5 |      342    430 | +1/+2  +0/+0  +0/+0  +2/+1  +2/+1  +2/+1  +2/-7  +2/+1
      DejaVu Serif  11.0 |      360    452 | +0/+1  +0/+0  +0/+0  +0/+0  +0/-1  +0/+0  +10/+24  +0/+0
      DejaVu Serif  11.5 |      377    473 | +0/+1  +0/+0  +0/-1  +0/+0  +0/+0  +0/+0  -7/+3  +0/-1
      DejaVu Serif  12.0 |      392    491 | +2/+5  +0/+0  +0/+0  +1/+2  +1/+2  +1/+1  +5/+12  +1/+2
      DejaVu Serif  12.5 |      409    512 | +2/+5  +0/+0  +0/-1  +0/+1  +0/+1  +0/+1  +14/+17  +0/+1
      DejaVu Serif  13.0 |      427    536 | -4/-7  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  -4/-7  -1/-2
      DejaVu Serif  13.5 |      441    554 | -1/-4  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +9/+2  +1/+0
      DejaVu Serif  14.0 |      459    575 | +2/+5  +0/+0  +0/+0  -1/+0  -1/-1  -1/+0  +17/+7  -1/+0
      DejaVu Serif  14.5 |      476    596 | -2/+1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +0/-14  -1/-1
      DejaVu Serif  15.0 |      490    614 | +1/+0  +0/+0  +0/-1  +1/+2  +1/+2  +1/+2  +13/+21  +1/+2
      DejaVu Serif  15.5 |      508    639 | +0/-4  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -5/-4  +0/-2
      DejaVu Serif  16.0 |      526    660 | -5/-8  +0/+0  +0/+0  -3/-4  -3/-4  -3/-4  -23/-25  -2/-3
      DejaVu Serif  16.5 |      540    678 | -2/-5  +0/+0  +0/+0  +0/+0  +0/-1  +0/+0  -11/-17  +0/+0
      DejaVu Serif  17.0 |      557    699 | +2/+0  +0/+0  +0/-1  +0/+0  +0/-1  +0/+0  -1/-11  +0/-1
      DejaVu Serif  17.5 |      572    717 | +4/+3  +0/+0  +0/+0  +1/+2  +1/+2  +1/+1  -16/-29  +1/+2
      DejaVu Serif  18.0 |      589    737 | -1/+0  +0/+0  +0/+0  +0/+2  +0/+2  +0/+2  -7/+4  +0/+2
      DejaVu Serif  18.5 |      607    762 | -2/-4  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  +2/+6  -1/-2
      DejaVu Serif  19.0 |      621    780 | +1/-1  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  -12/-12  +1/+0
      DejaVu Serif  19.5 |      639    801 | +0/-1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -4/-7  +0/+0
      DejaVu Serif  20.0 |      656    822 | +0/-1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +5/-2  -1/-1
      DejaVu Serif  20.5 |      670    840 | +3/+2  +0/+0  +0/-1  +1/+2  +1/+2  +1/+1  -9/-20  +1/+2
      DejaVu Serif  21.0 |      688    864 | -2/-4  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  +0/+9  +0/-2
      DejaVu Serif  21.5 |      706    886 | -3/-5  +0/+0  +0/+0  -3/-4  -3/-4  -3/-4  +8/+14  -2/-3
      DejaVu Serif  22.0 |      720    903 | +0/-1  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  -6/-3  +0/+0
      DejaVu Serif  22.5 |      737    924 | +4/+3  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +4/+2  +0/+0
      DejaVu Serif  23.0 |      751    942 | +3/+3  +0/+0  +0/+0  +2/+2  +2/+2  +2/+2  +16/+11  +2/+3
      DejaVu Serif  23.5 |      769    963 | +1/+2  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  -2/-10  +1/+2
      DejaVu Serif  24.0 |      787    988 | +0/-2  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  +7/+18  -1/-2
  DejaVu Sans Mono   5.0 |      162    205 | +3/+2  +0/+0  +0/-1  +1/+0  +1/-1  +1/+0  -3/+7  +2/+0
  DejaVu Sans Mono   5.5 |      180    226 | +2/+3  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -21/-14  +0/+0
  DejaVu Sans Mono   6.0 |      198    247 | -3/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -13/-9  -2/-1
  DejaVu Sans Mono   6.5 |      212    265 | +0/+2  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +0/+0  +1/+2
  DejaVu Sans Mono   7.0 |      229    289 | +0/-1  +0/+0  +0/+0  +0/-1  +0/-2  +0/-1  -17/-24  +0/-2
