identity	sum|ink|%	pages	major
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	4.54	9	1
031_Business_expense_budget_f3a46278__xlsx	0.29	8	0
032_Business_expenses_budget_d377eaab__xlsx	1.26	4	0
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	0.81	4	2
037_Personal_money_tracker_a57957bb__xlsx	3.45	5	1
041_Business_budget_ef942467__xlsx	0.39	4	0
042_Business_monthly_budget_4e4d092f__xlsx	0.03	4	0
050_Financial_vision_d44241e1__xlsx	0.10	1	0
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	2.90	7	3
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3__xlsx	0.05	4	0
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx	0.00	0	0
074_Idea_planner_bacaa123__xlsx	0.06	1	1
075_Idea_planner_tasks_f44ebd73__xlsx	0.30	1	1
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	1.57	9	0
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a__xlsx	1.86	1	1
078_Modern_inventory_list_Use_this_template_41abd5bf__xlsx	2.24	1	1
081_Project_performance_report_Use_this_template_be2468b3__xlsx	1.10	2	1
Computer and Software Services_50 State Comparison__xlsx	20.15	26	5
Data-Architecture-Tool-Fit-Assessment-Template__xlsx	5.19	22	6
TK-Syllabus-Comparison-Document-v2__xlsx	304.57	1235	142
sistem-rekod-markah-srm-_-rekod-master__xlsx	4.01	31	0
